run	subcxi	event	id	multi	a	b	c	alpha	beta	gamma	indby	phoen	bmdv	bmbw	npeak	prorad	detdx	detdy	reslim	nref	nsref	niref	o1	o2	o3	o4	o5	o6	o7	o8	o9	/LCLS/machineTime	/LCLS/machineTimeNanoSeconds	/LCLS/fiducial	/cheetah/frameNumber	row	col	chiprow	chipframe
105	1	3452	0105013452	1	13.053720	23.228060	30.630581	89.041519	89.991333	89.994217	mosflm-comb-latt-nocell-retry-multi-refine	9468.389648	0.000000	0.000000	145	0.007940	-0.001000	-0.019000	1.610000	9342	0	46	-0.057154	-0.050048	0.009857	0.024894	-0.023232	0.026353	-0.011100	0.017634	0.025139	1506768256	297936160	37878	25195	69	136	69	25195
105	1	3461	0105013461	1	13.062640	22.732540	30.907841	89.222679	89.969551	89.279961	mosflm-comb-latt-nocell-retry-multi-refine	9464.546875	0.000000	0.000000	210	0.008200	0.020000	0.009000	2.070000	9525	0	39	-0.076426	0.002366	-0.003867	0.002823	0.001617	-0.043877	-0.000948	-0.032333	-0.000813	1506768256	489707680	37947	25218	69	159	69	25218
105	1	3516	0105013516	1	13.039370	22.707680	30.775940	89.028580	90.090607	90.750458	mosflm-comb-latt-nocell-retry-multi-refine	9464.333984	0.000000	0.000000	161	0.005270	0.020000	0.014000	1.690000	6148	0	26	0.035942	-0.048372	0.047443	-0.032990	-0.028963	-0.003607	0.015332	-0.013478	-0.025286	1506768256	315156288	38244	25317	69	258	69	25317
105	1	3530	0105013530	1	12.970140	22.750240	30.718620	89.059219	90.144661	89.964844	dirax-comb-nolatt-nocell-retry-multi-refine	9467.878906	0.000000	0.000000	198	0.008770	0.001000	0.027000	1.600000	10035	0	40	-0.077017	-0.003534	-0.000672	-0.001795	0.042125	-0.012445	0.000634	-0.009710	-0.031070	1506768256	465249440	38298	25335	69	276	69	25335
105	1	3546	0105013546	1	12.939060	22.623350	30.729250	89.217010	89.036346	90.362488	mosflm-comb-latt-nocell-retry-multi-refine	9464.961914	0.000000	0.000000	122	0.008840	-0.007000	0.014000	1.510000	10103	0	30	0.077258	-0.001511	0.001986	-0.000806	-0.043084	0.009871	0.000134	-0.006834	-0.031824	1506768256	606972992	38349	25352	69	293	69	25352
105	1	3551	0105013551	1	12.868240	22.445009	31.814400	89.051888	89.263199	90.829613	dirax-comb-nolatt-nocell-retry-multi-refine	9461.950195	0.000000	0.000000	45	0.004790	-0.026000	0.036000	1.050000	5577	0	18	0.067290	-0.023981	0.030631	-0.018036	-0.039390	0.010445	0.008538	-0.010808	-0.028262	1506768256	648672128	38364	25357	69	298	69	25357
105	1	3560	0105013560	1	12.754750	22.888910	31.027660	89.227219	90.581528	89.279579	dirax-comb-nolatt-nocell-retry-multi-refine	9461.750977	0.000000	0.000000	151	0.012050	0.082000	-0.003000	1.390000	13012	0	80	0.019679	-0.044070	-0.061799	-0.037401	0.011534	-0.019430	0.015215	0.025041	-0.013435	1506768256	798743296	38418	25375	69	316	69	25375
105	1	3686	0105013686	1	12.962940	22.533421	31.010920	89.199699	89.834534	90.246437	mosflm-comb-latt-nocell-retry-multi-refine	9461.898438	0.000000	0.000000	119	0.004820	0.008000	0.013000	1.730000	5572	0	12	0.074618	0.010187	-0.016719	-0.008794	0.040711	-0.015333	0.004939	0.011735	0.029630	1506768256	959282240	39915	25598	70	204	70	25598
105	1	3732	0105013732	1	13.078740	22.719589	30.976540	89.095291	90.651497	90.401039	mosflm-comb-latt-nocell-retry-multi-refine	9474.972656	0.000000	0.000000	107	0.005600	0.002000	-0.000000	1.520000	6538	0	10	0.021387	0.072061	-0.014033	-0.042164	0.012136	-0.003577	-0.000248	0.006614	0.031603	1506768256	451236224	40092	25657	70	145	70	25657
105	1	3925	0105013925	1	13.091810	22.415260	31.027170	89.046227	90.707130	90.262039	mosflm-comb-latt-nocell-retry-multi-refine	9466.787109	0.000000	0.000000	205	0.011520	0.040000	-0.007000	1.880000	13043	0	79	0.019766	-0.066997	0.030921	-0.040042	-0.003061	0.019445	-0.010840	-0.015654	-0.026013	1506768256	712555584	41985	26000	71	197	71	26000
